x=  32.3, y=  21.6 | w=None  , h=None   | r=None           | name=패스 58                     | {'fill': '#1a1311'} | 
x=  32.5, y=  21.6 | w=None  , h=None   | r=None           | name=패스 57                     | {'fill': '#1a1311'} | 
x=  32.7, y=  21.6 | w=None  , h=None   | r=None           | name=패스 56                     | {'fill': '#1a1311'} | 
x=  33.0, y=  21.6 | w=None  , h=None   | r=None           | name=패스 53                     | {'fill': '#1a1311'} | 
x=  34.7, y=  21.6 | w=None  , h=None   | r=None           | name=패스 49                     | {'fill': '#1a1311'} | 
x=  26.1, y=  21.7 | w=None  , h=None   | r=None           | name=패스 83                     | {'fill': '#1a1311'} | 
x=  26.3, y=  21.7 | w=None  , h=None   | r=None           | name=패스 81                     | {'fill': '#1a1311'} | 
x=  27.0, y=  21.7 | w=None  , h=None   | r=None           | name=패스 84                     | {'fill': '#1a1311'} | 
x=  27.4, y=  21.7 | w=None  , h=None   | r=None           | name=패스 78                     | {'fill': '#1a1311'} | 
x=  28.6, y=  21.7 | w=None  , h=None   | r=None           | name=패스 74                     | {'fill': '#1a1311'} | 
x=  29.3, y=  21.7 | w=None  , h=None   | r=None           | name=패스 71                     | {'fill': '#1a1311'} | 
x=  29.9, y=  21.7 | w=None  , h=None   | r=None           | name=패스 68                     | {'fill': '#1a1311'} | 
x=  30.4, y=  21.7 | w=None  , h=None   | r=None           | name=패스 55                     | {'fill': '#1a1311'} | 
x=  31.8, y=  21.7 | w=None  , h=None   | r=None           | name=패스 60                     | {'fill': '#1a1311'} | 
x=  32.8, y=  21.7 | w=None  , h=None   | r=None           | name=패스 54                     | {'fill': '#1a1311'} | 
x=  33.3, y=  21.7 | w=None  , h=None   | r=None           | name=패스 52                     | {'fill': '#1a1311'} | 
x=  34.3, y=  21.7 | w=None  , h=None   | r=None           | name=패스 50                     | {'fill': '#1a1311'} | 
x=  35.1, y=  21.7 | w=None  , h=None   | r=None           | name=패스 48                     | {'fill': '#1a1311'} | 
x=  35.6, y=  21.7 | w=None  , h=None   | r=None           | name=패스 47                     | {'fill': '#1a1311'} | 
x=  26.6, y=  22.2 | w=None  , h=None   | r=None           | name=패스 40                     | {'fill': '#1a1311'} | 
x=  27.6, y=  22.4 | w=None  , h=None   | r=None           | name=패스 41                     | {'fill': '#1a1311'} | 
x=  31.9, y=  22.4 | w=None  , h=None   | r=None           | name=패스 27                     | {'fill': '#1a1311'} | 
x=  26.7, y=  22.5 | w=None  , h=None   | r=None           | name=패스 37                     | {'fill': '#1a1311'} | 
x=  29.0, y=  22.5 | w=None  , h=None   | r=None           | name=패스 42                     | {'fill': '#1a1311'} | 
x=  30.1, y=  22.5 | w=None  , h=None   | r=None           | name=패스 43                     | {'fill': '#1a1311'} | 
x= 139.8, y=  22.7 | w=None  , h=None   | r=None           | name=그룹 30                     | {} | 
x=  26.2, y=  23.0 | w=None  , h=None   | r=None           | name=패스 36                     | {'fill': '#1a1311'} | 
x=  26.7, y=  23.0 | w=None  , h=None   | r=None           | name=패스 35                     | {'fill': '#1a1311'} | 
x=  27.1, y=  23.0 | w=None  , h=None   | r=None           | name=패스 34                     | {'fill': '#1a1311'} | 
x=  27.8, y=  23.0 | w=None  , h=None   | r=None           | name=패스 33                     | {'fill': '#1a1311'} | 
x=  28.9, y=  23.0 | w=None  , h=None   | r=None           | name=패스 32                     | {'fill': '#1a1311'} | 
x=  30.0, y=  23.0 | w=None  , h=None   | r=None           | name=패스 31                     | {'fill': '#1a1311'} | 
x=  30.4, y=  23.0 | w=None  , h=None   | r=None           | name=패스 29                     | {'fill': '#1a1311'} | 
x=  31.1, y=  23.0 | w=None  , h=None   | r=None           | name=패스 30                     | {'fill': '#1a1311'} | 
x=  31.5, y=  23.0 | w=None  , h=None   | r=None           | name=패스 28                     | {'fill': '#1a1311'} | 
x=  32.2, y=  23.0 | w=None  , h=None   | r=None           | name=패스 39                     | {'fill': '#1a1311'} | 
x=  33.3, y=  23.0 | w=None  , h=None   | r=None           | name=패스 38                     | {'fill': '#1a1311'} | 
x=  35.0, y=  23.2 | w=None  , h=None   | r=None           | name=패스 45                     | {'fill': '#001976'} | 
x=  36.0, y=  23.2 | w=None  , h=None   | r=None           | name=그룹 25                     | {} | 
x=  36.0, y=  23.2 | w=None  , h=None   | r=None           | name=그룹 16                     | {} | 
x=  36.0, y=  23.2 | w=None  , h=None   | r=None           | name=그룹 15                     | {} | 
x=  36.0, y=  23.2 | w=None  , h=None   | r=None           | name=패스 44                     | {'fill': '#dc000c'} | 
x=  36.0, y=  23.2 | w=None  , h=None   | r=None           | name=그룹 20                     | {} | 
x=  36.0, y=  23.2 | w=None  , h=None   | r=None           | name=그룹 19                     | {} | 
x=  36.0, y=  23.2 | w=None  , h=None   | r=None           | name=그룹 24                     | {} | 
x=  36.0, y=  23.2 | w=None  , h=None   | r=None           | name=그룹 23                     | {} | 
x=  67.3, y=  31.5 | w=None  , h=None   | r=None           | name=그룹 18                     | {} | 
x=  67.3, y=  31.5 | w=None  , h=None   | r=None           | name=그룹 17                     | {} | 
x=  67.3, y=  31.5 | w=16.565441131591797, h=16.56544303894043 | r=None           | name=사각형 37                    | {} | 
x=1766.5, y=  33.6 | w=None  , h=None   | r=None           | name=ico_home                  | {'fill': '#283860'} | 
x=  70.0, y=  49.7 | w=None  , h=None   | r=None           | name=그룹 22                     | {} | 
x=  70.0, y=  49.7 | w=None  , h=None   | r=None           | name=그룹 21                     | {} | 
x=  70.0, y=  49.7 | w=11.197015762329102, h=2.0927278995513916 | r=None           | name=사각형 39                    | {} | 
